id	titulo	descricao	categoria	preco	desconto	stock	image
1	Essence Mascara Lash Princess	The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.	beauty	9.99	7.17	5	https://cdn.dummyjson.com/products/images/beauty/Essence%20Mascara%20Lash%20Princess/1.png
2	Eyeshadow Palette with Mirror	The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.	beauty	19.99	5.50	44	https://cdn.dummyjson.com/products/images/beauty/Eyeshadow%20Palette%20with%20Mirror/1.png
3	Powder Canister	The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.	beauty	14.99	18.14	59	https://cdn.dummyjson.com/products/images/beauty/Powder%20Canister/1.png
4	Red Lipstick	The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.	beauty	12.99	19.03	68	https://cdn.dummyjson.com/products/images/beauty/Red%20Lipstick/1.png
5	Red Nail Polish	The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.	beauty	8.99	2.46	71	https://cdn.dummyjson.com/products/images/beauty/Red%20Nail%20Polish/1.png
6	Calvin Klein CK One	CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.	fragrances	49.99	0.32	17	https://cdn.dummyjson.com/products/images/fragrances/Calvin%20Klein%20CK%20One/1.png
7	Chanel Coco Noir Eau De	Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.	fragrances	129.99	18.64	41	https://cdn.dummyjson.com/products/images/fragrances/Chanel%20Coco%20Noir%20Eau%20De/1.png
8	Dior J'adore	J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.	fragrances	89.99	17.44	91	https://cdn.dummyjson.com/products/images/fragrances/Dior%20J'adore/1.png
9	Dolce Shine Eau de	Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.	fragrances	69.99	11.47	3	https://cdn.dummyjson.com/products/images/fragrances/Dolce%20Shine%20Eau%20de/1.png
10	Gucci Bloom Eau de	Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.	fragrances	79.99	8.90	93	https://cdn.dummyjson.com/products/images/fragrances/Gucci%20Bloom%20Eau%20de/1.png
